,adult_families_in_shelter,adults_in_families_with_children_in_shelter,children_in_families_with_children_in_shelter,date_of_census,families_with_children_in_shelter,individuals_in_adult_families_in_shelter,single_adult_men_in_shelter,single_adult_women_in_shelter,total_adults_in_shelter,total_children_in_shelter,total_individuals_in_families_with_children_in_shelter_,total_individuals_in_shelter,total_single_adults_in_shelter,individuals_in_shelter
590,2139,16815,23545,2015-05-04T00:00:00.000,11702,4498.0,8561,3221,33095,23545,40360,56640,11782,
591,2142,16800,23522,2015-05-05T00:00:00.000,11689,4506.0,8567,3207,33080,23522,40322,56602,11774,
592,2151,16825,23565,2015-05-06T00:00:00.000,11705,4522.0,8612,3231,33190,23565,40390,56755,11843,
593,2141,16869,23593,2015-05-07T00:00:00.000,11735,4502.0,8579,3225,33175,23593,40462,56768,11804,
594,2145,16877,23595,2015-05-08T00:00:00.000,11743,4508.0,8520,3201,33106,23595,40472,56701,11721,
595,2145,16837,23538,2015-05-09T00:00:00.000,11715,4510.0,8540,3206,33093,23538,40375,56631,11746,
596,2148,16844,23546,2015-05-10T00:00:00.000,11714,4516.0,8555,3209,33124,23546,40390,56670,11764,
597,2152,16833,23532,2015-05-11T00:00:00.000,11704,4522.0,8606,3230,33191,23532,40365,56723,11836,
598,2147,16777,23469,2015-05-12T00:00:00.000,11680,4508.0,8587,3242,33114,23469,40246,56583,11829,
599,2149,16824,23499,2015-05-13T00:00:00.000,11714,4510.0,8638,3243,33215,23499,40323,56714,11881,
600,2143,16849,23524,2015-05-14T00:00:00.000,11731,4501.0,8622,3238,33210,23524,40373,56734,11860,
601,2148,16849,23468,2015-05-18T00:00:00.000,11725,4513.0,8643,3256,33261,23468,40317,56729,11899,
602,2145,16833,23467,2015-05-19T00:00:00.000,11713,4505.0,8601,3249,33188,23467,40300,56655,11850,
603,2157,16872,23499,2015-05-20T00:00:00.000,11739,4529.0,8658,3251,33310,23499,40371,56809,11909,
604,2149,16884,23517,2015-05-21T00:00:00.000,11755,4513.0,8672,3254,33323,23517,40401,56840,11926,
605,2160,16842,23461,2015-05-22T00:00:00.000,11731,4538.0,8584,3226,33190,23461,40303,56651,11810,
606,2157,16858,23482,2015-05-23T00:00:00.000,11743,4532.0,8590,3218,33198,23482,40340,56680,11808,
607,2155,16826,23433,2015-05-25T00:00:00.000,11727,4528.0,8630,3205,33189,23433,40259,56622,11835,
608,2152,16808,23408,2015-05-26T00:00:00.000,11712,4520.0,8647,3228,33203,23408,40216,56611,11875,
609,2151,16763,23337,2015-05-27T00:00:00.000,11683,4519.0,8681,3239,33202,23337,40100,56539,11920,
610,2141,16766,23331,2015-05-28T00:00:00.000,11689,4499.0,8681,3250,33196,23331,40097,56527,11931,
611,2144,16783,23365,2015-05-29T00:00:00.000,11711,4504.0,8598,3237,33122,23365,40148,56487,11835,
612,2149,16767,23314,2015-05-30T00:00:00.000,11697,4511.0,8538,3222,33038,23314,40081,56352,11760,
613,2152,16761,23317,2015-05-31T00:00:00.000,11698,4517.0,8618,3227,33123,23317,40078,56440,11845,
614,2149,16778,23349,2015-06-01T00:00:00.000,11703,4512.0,8671,3252,33213,23349,40127,56562,11923,
615,2147,16735,23279,2015-06-02T00:00:00.000,11673,4507.0,8681,3246,33169,23279,40014,56448,11927,
616,2149,16760,23304,2015-06-03T00:00:00.000,11694,4512.0,8680,3250,33202,23304,40064,56506,11930,
617,2149,16779,23325,2015-06-04T00:00:00.000,11715,4516.0,8625,3251,33171,23325,40104,56496,11876,
618,2144,16749,23286,2015-06-05T00:00:00.000,11702,4507.0,8627,3241,33124,23286,40035,56410,11868,
619,2145,16748,23290,2015-06-06T00:00:00.000,11706,4506.0,8566,3245,33065,23290,40038,56355,11811,
620,2136,16743,23284,2015-06-07T00:00:00.000,11710,4486.0,8610,3255,33094,23284,40027,56378,11865,
621,2134,16739,23298,2015-06-08T00:00:00.000,11707,4486.0,8648,3264,33137,23298,40037,56435,11912,
622,2133,16726,23266,2015-06-09T00:00:00.000,11693,4484.0,8612,3274,33096,23266,39992,56362,11886,
623,2138,16694,23233,2015-06-10T00:00:00.000,11689,4494.0,8665,3275,33128,23233,39927,56361,11940,
624,2144,16709,23237,2015-06-11T00:00:00.000,11702,4506.0,8592,3270,33077,23237,39946,56314,11862,
625,2144,16699,23234,2015-06-12T00:00:00.000,11701,4505.0,8568,3256,33028,23234,39933,56262,11824,
626,2138,16657,23162,2015-06-13T00:00:00.000,11668,4493.0,8564,3267,32981,23162,39819,56143,11831,
627,2137,16668,23172,2015-06-14T00:00:00.000,11676,4493.0,8620,3277,33058,23172,39840,56230,11897,
628,2137,16675,23187,2015-06-15T00:00:00.000,11669,4490.0,8684,3286,33135,23187,39862,56322,11970,
629,2125,16637,23138,2015-06-16T00:00:00.000,11644,4464.0,8688,3292,33081,23138,39775,56219,11980,
630,2119,16641,23117,2015-06-17T00:00:00.000,11653,4454.0,8677,3297,33069,23117,39758,56186,11974,
631,2123,16641,23100,2015-06-18T00:00:00.000,11656,4461.0,8674,3286,33062,23100,39741,56162,11960,
632,2128,16631,23090,2015-06-19T00:00:00.000,11653,4469.0,8599,3281,32980,23090,39721,56070,11880,
633,2126,16614,23077,2015-06-20T00:00:00.000,11643,4467.0,8627,3292,33000,23077,39691,56077,11919,
634,2126,16635,23117,2015-06-21T00:00:00.000,11662,4466.0,8633,3292,33026,23117,39752,56143,11925,
635,2135,16624,23084,2015-06-22T00:00:00.000,11653,4484.0,8674,3301,33083,23084,39708,56167,11975,
636,2134,16595,23042,2015-06-23T00:00:00.000,11628,4481.0,8705,3314,33095,23042,39637,56137,12019,
637,2127,16608,23061,2015-06-24T00:00:00.000,11635,4466.0,8705,3318,33097,23061,39669,56158,12023,
638,2130,16584,23050,2015-06-25T00:00:00.000,11619,4471.0,8684,3309,33048,23050,39634,56098,11993,
639,2128,16559,22994,2015-06-26T00:00:00.000,11594,4468.0,8623,3305,32955,22994,39553,55949,11928,
640,2129,16541,22952,2015-06-27T00:00:00.000,11587,4471.0,8666,3302,32980,22952,39493,55932,11968,
641,2136,16551,22963,2015-06-28T00:00:00.000,11599,4482.0,8671,3310,33014,22963,39514,55977,11981,
642,2135,16532,22934,2015-06-29T00:00:00.000,11579,4481.0,8679,3315,33007,22934,39466,55941,11994,
643,2135,16532,22934,2015-06-29T00:00:00.000,11579,4481.0,8679,3315,33007,22934,39466,55941,11994,
644,2127,16525,22907,2015-06-30T00:00:00.000,11574,4467.0,8678,3312,32982,22907,39432,55889,11990,
645,2126,16542,22916,2015-07-02T00:00:00.000,11597,4462.0,8593,3296,32893,22916,39458,55809,11889,
646,2127,16529,22875,2015-07-03T00:00:00.000,11586,4460.0,8558,3280,32827,22875,39404,55702,11838,
647,2131,16566,22914,2015-07-04T00:00:00.000,11607,4466.0,8495,3263,32790,22914,39480,55704,11758,
648,2127,16551,22903,2015-07-05T00:00:00.000,11602,4458.0,8591,3301,32901,22903,39454,55804,11892,
649,2132,16542,22887,2015-07-06T00:00:00.000,11595,4468.0,8625,3312,32947,22887,39429,55834,11937,
650,2129,16533,22866,2015-07-07T00:00:00.000,11581,4462.0,8637,3323,32955,22866,39399,55821,11960,
651,2138,16553,22872,2015-07-08T00:00:00.000,11592,4484.0,8657,3330,33024,22872,39425,55896,11987,
652,2135,16568,22871,2015-07-09T00:00:00.000,11603,4477.0,8665,3332,33042,22871,39439,55913,11997,
653,2129,16572,22864,2015-07-10T00:00:00.000,11610,4462.0,8603,3336,32973,22864,39436,55837,11939,
654,2129,16551,22850,2015-07-11T00:00:00.000,11606,4461.0,8573,3329,32914,22850,39401,55764,11902,
655,2126,16585,22899,2015-07-12T00:00:00.000,11635,4455.0,8619,3333,32992,22899,39484,55891,11952,
656,2137,16607,22916,2015-07-13T00:00:00.000,11639,4479.0,8665,3330,33081,22916,39523,55997,11995,
657,2132,16584,22928,2015-07-14T00:00:00.000,11627,4470.0,8661,3336,33051,22928,39512,55979,11997,
658,2134,16616,22969,2015-07-15T00:00:00.000,11656,4473.0,8690,3343,33122,22969,39585,56091,12033,
659,2129,16655,23080,2015-07-16T00:00:00.000,11689,4466.0,8682,3344,33147,23080,39735,56227,12026,
660,2129,16642,23065,2015-07-17T00:00:00.000,11677,4467.0,8590,3369,33068,23065,39707,56133,11959,
661,2128,16582,22977,2015-07-18T00:00:00.000,11631,4464.0,8568,3347,32961,22977,39559,55938,11915,
662,2131,16620,23032,2015-07-19T00:00:00.000,11654,4470.0,8596,3353,33039,23032,39652,56071,11949,
663,2127,16580,23005,2015-07-20T00:00:00.000,11627,4462.0,8663,3375,33080,23005,39585,56085,12038,
664,2118,16581,22987,2015-07-21T00:00:00.000,11627,4444.0,8683,3378,33086,22987,39568,56073,12061,
665,2111,16596,22990,2015-07-22T00:00:00.000,11639,4429.0,8676,3378,33079,22990,39586,56069,12054,
666,2112,16595,22948,2015-07-23T00:00:00.000,11634,4429.0,8635,3378,33037,22948,39543,55985,12013,
667,2101,16599,22962,2015-07-24T00:00:00.000,11633,4406.0,8570,3378,32953,22962,39561,55915,11948,
668,2089,16616,22984,2015-07-25T00:00:00.000,11648,4380.0,8574,3372,32942,22984,39600,55926,11946,
669,2088,16641,23032,2015-07-26T00:00:00.000,11662,4379.0,8623,3377,33020,23032,39673,56052,12000,
670,2094,16641,23036,2015-07-27T00:00:00.000,11665,4389.0,8654,3380,33064,23036,39677,56100,12034,
671,2093,16617,22996,2015-07-28T00:00:00.000,11640,4386.0,8653,3391,33047,22996,39613,56043,12044,
672,2104,16647,23039,2015-07-29T00:00:00.000,11660,4413.0,8678,3397,33135,23039,39686,56174,12075,
673,2107,16653,23038,2015-07-30T00:00:00.000,11665,4417.0,8659,3403,33132,23038,39691,56170,12062,
674,2114,16597,22981,2015-07-31T00:00:00.000,11633,4433.0,8594,3360,32984,22981,39578,55965,11954,
675,2115,16621,22999,2015-08-01T00:00:00.000,11648,4437.0,8546,3346,32950,22999,39620,55949,11892,
676,2115,16676,23057,2015-08-02T00:00:00.000,11680,4438.0,8587,3377,33078,23057,39733,56135,11964,
677,2125,16697,23092,2015-08-03T00:00:00.000,11688,4457.0,8643,3395,33192,23092,39789,56284,12038,
678,2125,16697,23092,2015-08-03T00:00:00.000,11688,4457.0,8643,3395,33192,23092,39789,56284,12038,
679,2115,16655,23016,2015-08-04T00:00:00.000,11671,4439.0,8627,3396,33117,23016,39671,56133,12023,
680,2106,16679,23045,2015-08-05T00:00:00.000,11705,4423.0,8698,3397,33197,23045,39724,56242,12095,
681,2110,16654,23021,2015-08-06T00:00:00.000,11694,4432.0,8669,3397,33152,23021,39675,56173,12066,
682,2111,16685,23040,2015-08-07T00:00:00.000,11718,4435.0,8567,3384,33071,23040,39725,56111,11951,
683,2114,16643,22997,2015-08-08T00:00:00.000,11693,4442.0,8557,3390,33032,22997,39640,56029,11947,
684,2114,16668,23043,2015-08-09T00:00:00.000,11713,4444.0,8664,3407,33183,23043,39711,56226,12071,
685,2128,16711,23123,2015-08-10T00:00:00.000,11746,4471.0,8705,3411,33298,23123,39834,56421,12116,
686,2126,16703,23112,2015-08-11T00:00:00.000,11732,4467.0,8693,3432,33295,23112,39815,56407,12125,
687,2130,16712,23152,2015-08-12T00:00:00.000,11735,4476.0,8695,3450,33333,23152,39864,56485,12145,
688,2137,16734,23176,2015-08-13T00:00:00.000,11741,4489.0,8685,3460,33368,23176,39910,56544,12145,
689,2135,16775,23260,2015-08-14T00:00:00.000,11776,4484.0,8628,3450,33337,23260,40035,56597,12078,
690,2129,16750,23248,2015-08-15T00:00:00.000,11772,4472.0,8607,3416,33245,23248,39998,56493,12023,
691,2132,16758,23245,2015-08-16T00:00:00.000,11774,4479.0,8667,3444,33348,23245,40003,56593,12111,
692,2132,16732,23219,2015-08-17T00:00:00.000,11754,4479.0,8688,3446,33345,23219,39951,56564,12134,
693,2127,16670,23155,2015-08-18T00:00:00.000,11713,4466.0,8715,3438,33289,23155,39825,56444,12153,
694,2136,16734,23262,2015-08-19T00:00:00.000,11772,4482.0,8688,3462,33366,23262,39996,56628,12150,
695,2130,16771,23299,2015-08-20T00:00:00.000,11792,4469.0,8664,3470,33374,23299,40070,56673,12134,
696,2127,16778,23317,2015-08-21T00:00:00.000,11794,4460.0,8617,3457,33312,23317,40095,56629,12074,
697,2127,16788,23314,2015-08-22T00:00:00.000,11796,4459.0,8567,3444,33258,23314,40102,56572,12011,
698,2127,16798,23316,2015-08-23T00:00:00.000,11809,4458.0,8669,3449,33374,23316,40114,56690,12118,
699,2131,16811,23305,2015-08-24T00:00:00.000,11802,4466.0,8691,3468,33436,23305,40116,56741,12159,
700,2126,16812,23303,2015-08-25T00:00:00.000,11799,4453.0,8678,3467,33410,23303,40115,56713,12145,
701,2131,16784,23294,2015-08-26T00:00:00.000,11790,4460.0,8644,3465,33353,23294,40078,56647,12109,
702,2133,16791,23327,2015-08-27T00:00:00.000,11807,4467.0,8690,3469,33417,23327,40118,56744,12159,
703,2133,16751,23247,2015-08-28T00:00:00.000,11775,4467.0,8624,3453,33295,23247,39998,56542,12077,
704,2131,16766,23266,2015-08-29T00:00:00.000,11788,4463.0,8633,3455,33317,23266,40032,56583,12088,
705,2134,16793,23300,2015-08-30T00:00:00.000,11809,4469.0,8695,3458,33415,23300,40093,56715,12153,
706,2134,16766,23285,2015-08-31T00:00:00.000,11785,4470.0,8738,3472,33446,23285,40051,56731,12210,
707,2130,16755,23273,2015-09-01T00:00:00.000,11782,4464.0,8694,3449,33362,23273,40028,56635,12143,
708,2123,16809,23328,2015-09-02T00:00:00.000,11827,4451.0,8698,3434,33392,23328,40137,56720,12132,
709,2126,16822,23358,2015-09-03T00:00:00.000,11838,4458.0,8681,3444,33405,23358,40180,56763,12125,
710,2131,16827,23368,2015-09-04T00:00:00.000,11856,4468.0,8631,3436,33362,23368,40195,56730,12067,
711,2133,16829,23358,2015-09-05T00:00:00.000,11860,4473.0,8592,3454,33348,23358,40187,56706,12046,
712,2129,16835,23358,2015-09-06T00:00:00.000,11876,4467.0,8633,3432,33367,23358,40193,56725,12065,
713,2132,16892,23438,2015-09-07T00:00:00.000,11914,4473.0,8715,3445,33525,23438,40330,56963,12160,
714,2135,16889,23425,2015-09-08T00:00:00.000,11907,4477.0,8719,3460,33545,23425,40314,56970,12179,
715,2141,16858,23379,2015-09-09T00:00:00.000,11886,4487.0,8738,3487,33570,23379,40237,56949,12225,
716,2140,16896,23412,2015-09-10T00:00:00.000,11912,4490.0,8755,3494,33635,23412,40308,57047,12249,
717,2134,16959,23502,2015-09-11T00:00:00.000,11951,4476.0,8692,3473,33600,23502,40461,57102,12165,
718,2119,16897,23404,2015-09-12T00:00:00.000,11914,4444.0,8710,3473,33524,23404,40301,56928,12183,
719,2122,16954,23472,2015-09-13T00:00:00.000,11951,4450.0,8759,3505,33668,23472,40426,57140,12264,
720,2132,16969,23510,2015-09-14T00:00:00.000,11958,4472.0,8775,3498,33714,23510,40479,57224,12273,
721,2137,16946,23479,2015-09-15T00:00:00.000,11937,4481.0,8786,3514,33727,23479,40425,57206,12300,
722,2135,16960,23531,2015-09-16T00:00:00.000,11953,4477.0,8776,3520,33733,23531,40491,57264,12296,
723,2135,16946,23489,2015-09-17T00:00:00.000,11939,4477.0,8775,3522,33720,23489,40435,57209,12297,
724,2145,16942,23478,2015-09-18T00:00:00.000,11935,4497.0,8754,3491,33684,23478,40420,57162,12245,
725,2141,16911,23429,2015-09-19T00:00:00.000,11919,4490.0,8729,3500,33630,23429,40340,57059,12229,
726,2140,16867,23404,2015-09-20T00:00:00.000,11893,4488.0,8807,3504,33666,23404,40271,57070,12311,
727,2144,16857,23384,2015-09-21T00:00:00.000,11883,4491.0,8812,3515,33675,23384,40241,57059,12327,
728,2144,16857,23384,2015-09-21T00:00:00.000,11883,4491.0,8812,3515,33675,23384,40241,57059,12327,
729,2148,16893,23422,2015-09-22T00:00:00.000,11911,4498.0,8857,3539,33787,23422,40315,57209,12396,
730,2158,16885,23403,2015-09-23T00:00:00.000,11912,4520.0,8871,3527,33803,23403,40288,57206,12398,
731,2158,16926,23391,2015-09-24T00:00:00.000,11936,4521.0,8856,3529,33832,23391,40317,57223,12385,
732,2162,16965,23486,2015-09-25T00:00:00.000,11967,4528.0,8754,3508,33755,23486,40451,57241,12262,
733,2151,16934,23448,2015-09-26T00:00:00.000,11938,4506.0,8735,3498,33673,23448,40382,57121,12233,
734,2154,16958,23470,2015-09-27T00:00:00.000,11963,4513.0,8822,3509,33802,23470,40428,57272,12331,
735,2159,16973,23485,2015-09-28T00:00:00.000,11971,4524.0,8848,3534,33879,23485,40458,57364,12382,
736,2158,16948,23455,2015-09-29T00:00:00.000,11964,4522.0,8831,3529,33830,23455,40403,57285,12360,
737,2161,16966,23484,2015-09-30T00:00:00.000,11975,4527.0,8850,3539,33882,23484,40450,57366,12389,
738,2167,16955,23428,2015-10-01T00:00:00.000,11966,4538.0,8796,3520,33809,23428,40383,57237,12316,
739,2167,16951,23431,2015-10-02T00:00:00.000,11966,4539.0,8789,3508,33787,23431,40382,57218,12297,
740,2158,16890,23363,2015-10-03T00:00:00.000,11925,4521.0,8806,3525,33742,23363,40253,57105,12331,
741,2164,16912,23376,2015-10-04T00:00:00.000,11943,4530.0,8849,3535,33826,23376,40288,57202,12384,
742,2164,16936,23406,2015-10-05T00:00:00.000,11950,4529.0,8866,3539,33870,23406,40342,57276,12405,
743,2159,16905,23388,2015-10-06T00:00:00.000,11933,4518.0,8892,3536,33851,23388,40293,57239,12428,
744,2154,16929,23401,2015-10-07T00:00:00.000,11950,4509.0,8882,3538,33858,23401,40330,57259,12420,
745,2157,16900,23331,2015-10-08T00:00:00.000,11929,4516.0,8883,3552,33851,23331,40231,57182,12435,
746,2161,16981,23414,2015-10-09T00:00:00.000,11982,4525.0,8811,3524,33841,23414,40395,57255,12335,
747,2158,16935,23360,2015-10-10T00:00:00.000,11951,4519.0,8779,3531,33764,23360,40295,57124,12310,
748,2162,16916,23342,2015-10-11T00:00:00.000,11940,4528.0,8844,3540,33828,23342,40258,57170,12384,
749,2176,16949,23400,2015-10-12T00:00:00.000,11964,4556.0,8891,3568,33964,23400,40349,57364,12459,
750,2171,16990,23444,2015-10-13T00:00:00.000,11998,4546.0,8918,3562,34016,23444,40434,57460,12480,
751,2166,16964,23397,2015-10-14T00:00:00.000,11982,4536.0,8878,3578,33956,23397,40361,57353,12456,
752,2163,16942,23331,2015-10-15T00:00:00.000,11969,4529.0,8925,3573,33969,23331,40273,57300,12498,
753,2168,16951,23377,2015-10-16T00:00:00.000,11988,4541.0,8884,3561,33937,23377,40328,57314,12445,
754,2165,16948,23368,2015-10-17T00:00:00.000,11988,4535.0,8910,3559,33952,23368,40316,57320,12469,
755,2160,16951,23364,2015-10-18T00:00:00.000,11987,4524.0,8962,3585,34022,23364,40315,57386,12547,
756,2178,17001,23424,2015-10-19T00:00:00.000,12018,4562.0,8975,3584,34122,23424,40425,57546,12559,
757,2175,16956,23396,2015-10-20T00:00:00.000,11990,4555.0,8944,3572,34027,23396,40352,57423,12516,
758,2175,16951,23376,2015-10-21T00:00:00.000,11979,4555.0,8975,3553,34034,23376,40327,57410,12528,
759,2168,16952,23376,2015-10-22T00:00:00.000,11978,4538.0,9009,3573,34072,23376,40328,57448,12582,
760,2163,16966,23377,2015-10-23T00:00:00.000,11984,4527.0,8961,3566,34020,23377,40343,57397,12527,
761,2167,16979,23372,2015-10-24T00:00:00.000,11999,4534.0,8957,3586,34056,23372,40351,57428,12543,
762,2169,16924,23306,2015-10-25T00:00:00.000,11968,4538.0,9014,3587,34063,23306,40230,57369,12601,
763,2173,16945,23343,2015-10-26T00:00:00.000,11976,4546.0,9052,3574,34117,23343,40288,57460,12626,
764,2171,16921,23340,2015-10-27T00:00:00.000,11963,4538.0,9032,3579,34070,23340,40261,57410,12611,
765,2168,16962,23397,2015-10-28T00:00:00.000,11989,4532.0,9090,3594,34178,23397,40359,57575,12684,
766,2170,16987,23444,2015-10-29T00:00:00.000,12008,4541.0,9060,3586,34174,23444,40431,57618,12646,
767,2174,16980,23408,2015-10-30T00:00:00.000,12005,4548.0,8981,3539,34048,23408,40388,57456,12520,
768,2176,16999,23412,2015-10-31T00:00:00.000,12021,4552.0,8913,3538,34002,23412,40411,57414,12451,
769,2166,16963,23378,2015-11-01T00:00:00.000,11989,4532.0,8981,3553,34029,23378,40341,57407,12534,
770,2171,16965,23379,2015-11-03T00:00:00.000,11985,4544.0,8999,3564,34072,23379,40344,57451,12563,
771,2176,16949,23370,2015-11-04T00:00:00.000,11990,4560.0,9033,3572,34114,23370,40319,57484,12605,
772,2165,16957,23361,2015-11-05T00:00:00.000,12007,4537.0,9063,3560,34117,23361,40318,57478,12623,
773,2166,16987,23380,2015-11-06T00:00:00.000,12026,4541.0,8981,3530,34039,23380,40367,57419,12511,
774,2153,17000,23387,2015-11-07T00:00:00.000,12030,4510.0,8995,3555,34060,23387,40387,57447,12550,
775,2155,16997,23379,2015-11-08T00:00:00.000,12034,4514.0,9083,3570,34164,23379,40376,57543,12653,
776,2174,17055,23457,2015-11-09T00:00:00.000,12081,4552.0,9116,3576,34299,23457,40512,57756,12692,
777,2170,17032,23418,2015-11-10T00:00:00.000,12069,4544.0,9142,3586,34304,23418,40450,57722,12728,
778,2174,17050,23475,2015-11-11T00:00:00.000,12090,4550.0,9127,3603,34330,23475,40525,57805,12730,
779,2182,17045,23454,2015-11-12T00:00:00.000,12089,4566.0,9118,3591,34320,23454,40499,57774,12709,
780,2179,17064,23491,2015-11-13T00:00:00.000,12103,4560.0,9112,3574,34310,23491,40555,57801,12686,
781,2177,17038,23452,2015-11-14T00:00:00.000,12080,4558.0,9056,3572,34224,23452,40490,57676,12628,
782,2181,17031,23429,2015-11-15T00:00:00.000,12069,4566.0,9077,3597,34271,23429,40460,57700,12674,
783,2195,17059,23468,2015-11-16T00:00:00.000,12094,4595.0,9131,3603,34388,23468,40527,57856,12734,
784,2187,17083,23500,2015-11-17T00:00:00.000,12099,4578.0,9135,3607,34403,23500,40583,57903,12742,
785,2177,17090,23520,2015-11-18T00:00:00.000,12120,4557.0,9155,3608,34410,23520,40610,57930,12763,
786,2170,17081,23481,2015-11-19T00:00:00.000,12112,4544.0,9180,3619,34424,23481,40562,57905,12799,
787,2181,17112,23522,2015-11-20T00:00:00.000,12139,4565.0,9137,3590,34404,23522,40634,57926,12727,
788,2172,17066,23474,2015-11-21T00:00:00.000,12105,4549.0,9079,3574,34268,23474,40540,57742,12653,
789,2175,17096,23493,2015-11-22T00:00:00.000,12120,4554.0,9149,3603,34402,23493,40589,57895,12752,
790,2185,17137,23523,2015-11-23T00:00:00.000,12144,4576.0,9188,3613,34514,23523,40660,58037,12801,
791,2178,17119,23481,2015-11-24T00:00:00.000,12131,4563.0,9185,3606,34473,23481,40600,57954,12791,
792,2174,17159,23530,2015-11-25T00:00:00.000,12167,4555.0,9145,3573,34432,23530,40689,57962,12718,
793,2181,17184,23576,2015-11-26T00:00:00.000,12191,4570.0,9082,3544,34380,23576,40760,57956,12626,
794,2181,17188,23577,2015-11-27T00:00:00.000,12194,4571.0,9119,3538,34416,23577,40765,57993,12657,
795,2184,17125,23505,2015-11-28T00:00:00.000,12148,4576.0,9147,3554,34402,23505,40630,57907,12701,
796,2181,17089,23425,2015-11-29T00:00:00.000,12118,4569.0,9196,3576,34430,23425,40514,57855,12772,
797,2192,17093,23436,2015-11-30T00:00:00.000,12113,4595.0,9254,3589,34531,23436,40529,57967,12843,
798,2187,17026,23367,2015-12-01T00:00:00.000,12070,4587.0,9180,3573,34366,23367,40393,57733,12753,
799,2177,17043,23406,2015-12-02T00:00:00.000,12098,4568.0,9164,3572,34347,23406,40449,57753,12736,
800,2179,17059,23415,2015-12-03T00:00:00.000,12122,4571.0,9145,3579,34354,23415,40474,57769,12724,
801,2189,17060,23402,2015-12-04T00:00:00.000,12121,4594.0,9025,3556,34235,23402,40462,57637,12581,
802,2180,17038,23396,2015-12-05T00:00:00.000,12112,4574.0,9126,3582,34320,23396,40434,57716,12708,
803,2185,17054,23419,2015-12-06T00:00:00.000,12125,4583.0,9189,3591,34417,23419,40473,57836,12780,
804,2182,17082,23450,2015-12-07T00:00:00.000,12151,4577.0,9270,3588,34517,23450,40532,57967,12858,
805,2185,17085,23426,2015-12-08T00:00:00.000,12149,4583.0,9280,3604,34552,23426,40511,57978,12884,
806,2195,17092,23430,2015-12-09T00:00:00.000,12153,4603.0,9259,3600,34554,23430,40522,57984,12859,
807,2195,17120,23454,2015-12-10T00:00:00.000,12169,4605.0,9272,3619,34616,23454,40574,58070,12891,
808,2192,17090,23395,2015-12-11T00:00:00.000,12151,4598.0,9177,3592,34457,23395,40485,57852,12769,
809,2188,17085,23413,2015-12-12T00:00:00.000,12148,4592.0,9146,3594,34417,23413,40498,57830,12740,
810,2195,17106,23420,2015-12-13T00:00:00.000,12166,4608.0,9216,3621,34551,23420,40526,57971,12837,
811,2198,17108,23432,2015-12-14T00:00:00.000,12166,4614.0,9241,3603,34566,23432,40540,57998,12844,
812,2198,17082,23403,2015-12-15T00:00:00.000,12148,4612.0,9251,3617,34562,23403,40485,57965,12868,
813,2203,17106,23415,2015-12-16T00:00:00.000,12166,4624.0,9259,3622,34611,23415,40521,58026,12881,
814,2192,17124,23461,2015-12-17T00:00:00.000,12185,4602.0,9218,3631,34575,23461,40585,58036,12849,
815,2199,17063,23407,2015-12-18T00:00:00.000,12151,4621.0,9189,3601,34474,23407,40470,57881,12790,
816,2186,17074,23412,2015-12-19T00:00:00.000,12160,4592.0,9184,3592,34442,23412,40486,57854,12776,
817,2191,17074,23404,2015-12-20T00:00:00.000,12152,4604.0,9258,3613,34549,23404,40478,57953,12871,
818,2192,17082,23422,2015-12-21T00:00:00.000,12158,4605.0,9285,3615,34587,23422,40504,58009,12900,
819,2184,17087,23440,2015-12-22T00:00:00.000,12162,4589.0,9259,3610,34545,23440,40527,57985,12869,
820,2175,17071,23416,2015-12-23T00:00:00.000,12150,4570.0,9236,3609,34486,23416,40487,57902,12845,
821,2180,17086,23410,2015-12-24T00:00:00.000,12157,4580.0,9052,3561,34279,23410,40496,57689,12613,
822,2185,17087,23398,2015-12-25T00:00:00.000,12158,4591.0,9078,3557,34313,23398,40485,57711,12635,
823,2182,17063,23379,2015-12-26T00:00:00.000,12145,4584.0,9116,3557,34320,23379,40442,57699,12673,
824,2183,17029,23338,2015-12-27T00:00:00.000,12121,4586.0,9209,3568,34392,23338,40367,57730,12777,
825,2197,17049,23326,2015-12-28T00:00:00.000,12127,4616.0,9304,3601,34570,23326,40375,57896,12905,
826,2189,17031,23321,2015-12-29T00:00:00.000,12113,4599.0,9294,3593,34517,23321,40352,57838,12887,
827,2195,17080,23400,2015-12-30T00:00:00.000,12154,4610.0,9274,3550,34514,23400,40480,57914,12824,
828,2197,17061,23378,2015-12-31T00:00:00.000,12152,4614.0,8845,3440,33960,23378,40439,57338,12285,
829,2199,17057,23362,2016-01-01T00:00:00.000,12146,4618.0,9116,3476,34267,23362,40419,57629,12592,
830,2200,17053,23361,2016-01-02T00:00:00.000,12144,4622.0,9150,3492,34317,23361,40414,57678,12642,
831,2200,17036,23325,2016-01-03T00:00:00.000,12128,4623.0,9265,3539,34463,23325,40361,57788,12804,
832,2200,17020,23318,2016-01-04T00:00:00.000,12118,4623.0,9380,3588,34611,23318,40338,57929,12968,
833,2200,17049,23358,2016-01-05T00:00:00.000,12138,4626.0,9365,3610,34650,23358,40407,58008,12975,
834,2204,17090,23404,2016-01-06T00:00:00.000,12174,4635.0,9351,3606,34682,23404,40494,58086,12957,
835,2205,17111,23429,2016-01-07T00:00:00.000,12186,4638.0,9334,3625,34708,23429,40540,58137,12959,
